449 y,1.25,x,6,6.25
450 x,6,y,1.25,1.5
451 y,1.25,x,6.25,6.5
452 x,6.25,y,1.25,1.5
453 y,1.25,x,6.5,6.75
454 x,6.5,y,1.25,1.5
455 y,1.25,x,6.75,7
456 x,6.75,y,1.25,1.5
457 y,1.25,x,7,7.25
458 x,7,y,1.25,1.5
459 y,1.25,x,7.25,7.5
460 x,7.25,y,1.25,1.5
461 y,1.25,x,7.5,7.75
462 x,7.5,y,1.25,1.5
463 y,1.25,x,7.75,8
464 x,7.75,y,1.25,1.5
465 y,1.25,x,8,8.25
466 x,8,y,1.25,1.5
467 y,1.25,x,8.25,8.5
468 x,8.25,y,1.25,1.5
469 y,1.25,x,8.5,8.75
470 x,8.5,y,1.25,1.5
471 y,1.25,x,8.75,9
472 x,8.75,y,1.25,1.5
473 y,1.25,x,9,9.25
474 x,9,y,1.25,1.5
475 y,1.25,x,9.25,9.5
476 x,9.25,y,1.25,1.5
477 y,1.25,x,9.5,9.75
478 x,9.5,y,1.25,1.5
479 y,1.25,x,9.75,10
480 x,9.75,y,1.25,1.5
481 y,1.5,x,0,0.25
482 x,0,y,1.5,1.75
483 y,1.5,x,0.25,0.5
484 x,0.25,y,1.5,1.75
485 y,1.5,x,0.5,0.75
486 x,0.5,y,1.5,1.75
487 y,1.5,x,0.75,1
488 x,0.75,y,1.5,1.75
489 y,1.5,x,1,1.25
490 x,1,y,1.5,1.75
491 y,1.5,x,1.25,1.5
492 x,1.25,y,1.5,1.75
493 y,1.5,x,1.5,1.75
494 x,1.5,y,1.5,1.75
495 y,1.5,x,1.75,2
496 x,1.75,y,1.5,1.75
497 y,1.5,x,2,2.25
498 x,2,y,1.5,1.75
499 y,1.5,x,2.25,2.5
500 x,2.25,y,1.5,1.75
501 y,1.5,x,2.5,2.75
502 x,2.5,y,1.5,1.75
503 y,1.5,x,2.75,3
504 x,2.75,y,1.5,1.75
505 y,1.5,x,3,3.25
506 x,3,y,1.5,1.75
507 y,1.5,x,3.25,3.5
508 x,3.25,y,1.5,1.75
509 y,1.5,x,3.5,3.75
510 x,3.5,y,1.5,1.75
511 y,1.5,x,3.75,4
512 x,3.75,y,1.5,1.75
513 y,1.5,x,4,4.25
514 x,4,y,1.5,1.75
515 y,1.5,x,4.25,4.5
516 x,4.25,y,1.5,1.75
517 y,1.5,x,4.5,4.75
518 x,4.5,y,1.5,1.75
519 y,1.5,x,4.75,5
520 x,4.75,y,1.5,1.75
521 y,1.5,x,5,5.25
522 x,5,y,1.5,1.75
523 y,1.5,x,5.25,5.5
524 x,5.25,y,1.5,1.75
525 y,1.5,x,5.5,5.75
526 x,5.5,y,1.5,1.75
527 y,1.5,x,5.75,6
528 x,5.75,y,1.5,1.75
529 y,1.5,x,6,6.25
530 x,6,y,1.5,1.75
531 y,1.5,x,6.25,6.5
532 x,6.25,y,1.5,1.75
533 y,1.5,x,6.5,6.75
534 x,6.5,y,1.5,1.75
535 y,1.5,x,6.75,7
536 x,6.75,y,1.5,1.75
537 y,1.5,x,7,7.25
538 x,7,y,1.5,1.75
539 y,1.5,x,7.25,7.5
540 x,7.25,y,1.5,1.75
541 y,1.5,x,7.5,7.75
542 x,7.5,y,1.5,1.75
543 y,1.5,x,7.75,8
544 x,7.75,y,1.5,1.75
545 y,1.5,x,8,8.25
546 x,8,y,1.5,1.75
547 y,1.5,x,8.25,8.5
548 x,8.25,y,1.5,1.75
549 y,1.5,x,8.5,8.75
550 x,8.5,y,1.5,1.75
551 y,1.5,x,8.75,9
552 x,8.75,y,1.5,1.75
553 y,1.5,x,9,9.25
554 x,9,y,1.5,1.75
555 y,1.5,x,9.25,9.5
556 x,9.25,y,1.5,1.75
557 y,1.5,x,9.5,9.75
558 x,9.5,y,1.5,1.75
559 y,1.5,x,9.75,10
560 x,9.75,y,1.5,1.75
561 y,1.75,x,0,0.25
562 x,0,y,1.75,2
563 y,1.75,x,0.25,0.5
564 x,0.25,y,1.75,2
565 y,1.75,x,0.5,0.75
566 x,0.5,y,1.75,2
567 y,1.75,x,0.75,1
568 x,0.75,y,1.75,2
569 y,1.75,x,1,1.25
570 x,1,y,1.75,2
571 y,1.75,x,1.25,1.5
572 x,1.25,y,1.75,2
573 y,1.75,x,1.5,1.75
574 x,1.5,y,1.75,2
575 y,1.75,x,1.75,2
576 x,1.75,y,1.75,2
577 y,1.75,x,2,2.25
578 x,2,y,1.75,2
579 y,1.75,x,2.25,2.5
580 x,2.25,y,1.75,2
581 y,1.75,x,2.5,2.75
582 x,2.5,y,1.75,2
583 y,1.75,x,2.75,3
584 x,2.75,y,1.75,2
585 y,1.75,x,3,3.25
586 x,3,y,1.75,2
587 y,1.75,x,3.25,3.5
588 x,3.25,y,1.75,2
589 y,1.75,x,3.5,3.75
590 x,3.5,y,1.75,2
591 y,1.75,x,3.75,4
592 x,3.75,y,1.75,2
593 y,1.75,x,4,4.25
594 x,4,y,1.75,2
595 y,1.75,x,4.25,4.5
596 x,4.25,y,1.75,2
597 y,1.75,x,4.5,4.75
598 x,4.5,y,1.75,2
599 y,1.75,x,4.75,5
600 x,4.75,y,1.75,2
601 y,1.75,x,5,5.25
602 x,5,y,1.75,2
603 y,1.75,x,5.25,5.5
604 x,5.25,y,1.75,2
605 y,1.75,x,5.5,5.75
606 x,5.5,y,1.75,2
607 y,1.75,x,5.75,6
608 x,5.75,y,1.75,2
609 y,1.75,x,6,6.25
610 x,6,y,1.75,2
611 y,1.75,x,6.25,6.5
612 x,6.25,y,1.75,2
613 y,1.75,x,6.5,6.75
614 x,6.5,y,1.75,2
615 y,1.75,x,6.75,7
616 x,6.75,y,1.75,2
617 y,1.75,x,7,7.25
618 x,7,y,1.75,2
619 y,1.75,x,7.25,7.5
620 x,7.25,y,1.75,2
621 y,1.75,x,7.5,7.75
622 x,7.5,y,1.75,2
623 y,1.75,x,7.75,8
624 x,7.75,y,1.75,2
625 y,1.75,x,8,8.25
626 x,8,y,1.75,2
627 y,1.75,x,8.25,8.5
628 x,8.25,y,1.75,2
629 y,1.75,x,8.5,8.75
630 x,8.5,y,1.75,2
631 y,1.75,x,8.75,9
632 x,8.75,y,1.75,2
633 y,1.75,x,9,9.25
634 x,9,y,1.75,2
635 y,1.75,x,9.25,9.5
636 x,9.25,y,1.75,2
637 y,1.75,x,9.5,9.75
638 x,9.5,y,1.75,2
639 y,1.75,x,9.75,10
640 x,9.75,y,1.75,2
641 y,2,x,0,0.25
642 x,0,y,2,2.25
643 y,2,x,0.25,0.5
644 x,0.25,y,2,2.25
645 y,2,x,0.5,0.75
646 x,0.5,y,2,2.25
647 y,2,x,0.75,1
648 x,0.75,y,2,2.25
649 y,2,x,1,1.25
650 x,1,y,2,2.25
651 y,2,x,1.25,1.5
652 x,1.25,y,2,2.25
653 y,2,x,1.5,1.75
654 x,1.5,y,2,2.25
655 y,2,x,1.75,2
656 x,1.75,y,2,2.25
657 y,2,x,2,2.25
658 x,2,y,2,2.25
659 y,2,x,2.25,2.5
660 x,2.25,y,2,2.25
661 y,2,x,2.5,2.75
662 x,2.5,y,2,2.25
663 y,2,x,2.75,3
664 x,2.75,y,2,2.25
665 y,2,x,3,3.25
666 x,3,y,2,2.25
667 y,2,x,3.25,3.5
668 x,3.25,y,2,2.25
669 y,2,x,3.5,3.75
670 x,3.5,y,2,2.25
671 y,2,x,3.75,4
672 x,3.75,y,2,2.25
673 y,2,x,4,4.25
674 x,4,y,2,2.25
675 y,2,x,4.25,4.5
676 x,4.25,y,2,2.25
677 y,2,x,4.5,4.75
678 x,4.5,y,2,2.25
679 y,2,x,4.75,5
680 x,4.75,y,2,2.25
681 y,2,x,5,5.25
682 x,5,y,2,2.25
683 y,2,x,5.25,5.5
684 x,5.25,y,2,2.25
685 y,2,x,5.5,5.75
686 x,5.5,y,2,2.25
687 y,2,x,5.75,6
688 x,5.75,y,2,2.25
689 y,2,x,6,6.25
690 x,6,y,2,2.25
691 y,2,x,6.25,6.5
692 x,6.25,y,2,2.25
693 y,2,x,6.5,6.75
694 x,6.5,y,2,2.25
695 y,2,x,6.75,7
696 x,6.75,y,2,2.25
697 y,2,x,7,7.25
698 x,7,y,2,2.25
699 y,2,x,7.25,7.5
700 x,7.25,y,2,2.25
701 y,2,x,7.5,7.75
702 x,7.5,y,2,2.25
703 y,2,x,7.75,8
704 x,7.75,y,2,2.25
705 y,2,x,8,8.25
706 x,8,y,2,2.25
707 y,2,x,8.25,8.5
708 x,8.25,y,2,2.25
709 y,2,x,8.5,8.75
710 x,8.5,y,2,2.25
711 y,2,x,8.75,9
712 x,8.75,y,2,2.25
713 y,2,x,9,9.25
714 x,9,y,2,2.25
715 y,2,x,9.25,9.5
716 x,9.25,y,2,2.25
717 y,2,x,9.5,9.75
718 x,9.5,y,2,2.25
719 y,2,x,9.75,10
720 x,9.75,y,2,2.25
721 y,2.25,x,0,0.25
722 x,0,y,2.25,2.5
723 y,2.25,x,0.25,0.5
724 x,0.25,y,2.25,2.5
725 y,2.25,x,0.5,0.75
726 x,0.5,y,2.25,2.5
727 y,2.25,x,0.75,1
728 x,0.75,y,2.25,2.5
729 y,2.25,x,1,1.25
730 x,1,y,2.25,2.5
731 y,2.25,x,1.25,1.5
732 x,1.25,y,2.25,2.5
733 y,2.25,x,1.5,1.75
734 x,1.5,y,2.25,2.5
735 y,2.25,x,1.75,2
736 x,1.75,y,2.25,2.5
737 y,2.25,x,2,2.25
738 x,2,y,2.25,2.5
739 y,2.25,x,2.25,2.5
740 x,2.25,y,2.25,2.5
741 y,2.25,x,2.5,2.75
742 x,2.5,y,2.25,2.5
743 y,2.25,x,2.75,3
744 x,2.75,y,2.25,2.5
745 y,2.25,x,3,3.25
746 x,3,y,2.25,2.5
747 y,2.25,x,3.25,3.5
748 x,3.25,y,2.25,2.5
749 y,2.25,x,3.5,3.75
750 x,3.5,y,2.25,2.5
751 y,2.25,x,3.75,4
752 x,3.75,y,2.25,2.5
753 y,2.25,x,4,4.25
754 x,4,y,2.25,2.5
755 y,2.25,x,4.25,4.5
756 x,4.25,y,2.25,2.5
757 y,2.25,x,4.5,4.75
758 x,4.5,y,2.25,2.5
759 y,2.25,x,4.75,5
760 x,4.75,y,2.25,2.5
761 y,2.25,x,5,5.25
762 x,5,y,2.25,2.5
763 y,2.25,x,5.25,5.5
764 x,5.25,y,2.25,2.5
765 y,2.25,x,5.5,5.75
766 x,5.5,y,2.25,2.5
767 y,2.25,x,5.75,6
768 x,5.75,y,2.25,2.5
769 y,2.25,x,6,6.25
770 x,6,y,2.25,2.5
771 y,2.25,x,6.25,6.5
772 x,6.25,y,2.25,2.5
773 y,2.25,x,6.5,6.75
774 x,6.5,y,2.25,2.5
775 y,2.25,x,6.75,7
776 x,6.75,y,2.25,2.5
777 y,2.25,x,7,7.25
778 x,7,y,2.25,2.5
779 y,2.25,x,7.25,7.5
780 x,7.25,y,2.25,2.5
781 y,2.25,x,7.5,7.75
782 x,7.5,y,2.25,2.5
783 y,2.25,x,7.75,8
784 x,7.75,y,2.25,2.5
785 y,2.25,x,8,8.25
786 x,8,y,2.25,2.5
787 y,2.25,x,8.25,8.5
788 x,8.25,y,2.25,2.5
789 y,2.25,x,8.5,8.75
790 x,8.5,y,2.25,2.5
791 y,2.25,x,8.75,9
792 x,8.75,y,2.25,2.5
793 y,2.25,x,9,9.25
794 x,9,y,2.25,2.5
795 y,2.25,x,9.25,9.5
796 x,9.25,y,2.25,2.5
797 y,2.25,x,9.5,9.75
798 x,9.5,y,2.25,2.5
799 y,2.25,x,9.75,10
800 x,9.75,y,2.25,2.5
801 y,2.5,x,0,0.25
802 x,0,y,2.5,2.75
803 y,2.5,x,0.25,0.5
804 x,0.25,y,2.5,2.75
805 y,2.5,x,0.5,0.75
806 x,0.5,y,2.5,2.75
807 y,2.5,x,0.75,1
808 x,0.75,y,2.5,2.75
809 y,2.5,x,1,1.25
